ID OMM station;Date;Pression au niveau mer;Variation de pression en 3 heures;Type de tendance barometrique;Direction du vent moyen 10 mn;Vitesse du vent moyen 10 mn;Temperature;Point de rosee;Humidite;Visibilite horizontale;Temps present;Temps passe 1;Temps passe 2;Nebulosite totale;Nebulosite  des nuages de l' etage inferieur;Hauteur de la base des nuages de l'etage inferieur;Type des nuages de l'etage inferieur;Type des nuages de l'etage moyen;Type des nuages de l'etage superieur;Pression station;Niveau barometrique;Geopotentiel;Variation de pression en 24 heures;Temperature minimale sur 12 heures;Temperature minimale sur 24 heures;Temperature maximale sur 12 heures;Temperature maximale sur 24 heures;Temperature minimale du sol sur 12 heures;Methode de mesure Temperature du thermometre mouille;Temperature du thermometre mouille;Rafale sur les 10 dernieres minutes;Rafales sur une periode;Periode de mesure de la rafale;Etat du sol;Hauteur totale de la couche de neige glace autre au sol;Hauteur de la neige fraiche;Periode de mesure de la neige fraiche;Precipitations dans la derniere heure;Precipitations dans les 3 dernieres heures;Precipitations dans les 6 dernieres heures;Precipitations dans les 12 dernieres heures;Precipitations dans les 24 dernieres heures;Phenomene special 1;Phenomene special 2;Phenomene special 3;Phenomene special 4;Nebulosite couche nuageuse 1;Type nuage 1;Hauteur de base 1;Nebulosite couche nuageuse 2;Type nuage 2;Hauteur de base 2;Nebulosite couche nuageuse 3;Type nuage 3;Hauteur de base 3;Nebulosite couche nuageuse 4;Type nuage 4;Hauteur de base 4;Coordonnees;Nom;Type de tendance barometrique;Temps passe 1;Temps present
7130;2018-04-03T05:00:00+02:00;99710;-70;8;170;4.5;283.55;281.95;90;51880;0;;;100;7;800;;;;99270;;;-690;;;;;282.250000;;;7.100000;8.800000;-10;2;0.000000;;;0.0;0.0;0.400000;0.6;0.8;;;;;7;;;8;;;;;;;;;48.068833, -1.734;RENNES-ST JACQUES;8;;0
7130;2018-03-30T11:00:00+02:00;99400;-20;5;200;2.9;278.85;277.95;94;22880;51;;;100;8;250;;;;98950;;;-1010;;;;;279.650000;;;4.000000;4.000000;-10;2;0.000000;;;-0.1;1.6;4.000000;5.4;9.6;;;;;5;;;8;;;;;;;;;48.068833, -1.734;RENNES-ST JACQUES;5;;51
7130;2018-03-19T13:00:00+01:00;100760;140;1;70;4.5;277.25;272.85;73;11260;0;;;100;8;800;;;;100300;;;440;;;;;275.650000;;;6.500000;8.500000;-10;0;0.000000;;;0.0;0.0;0.000000;0.0;-0.1;;;;;4;;720;8;;960;;;;;;;48.068833, -1.734;RENNES-ST JACQUES;1;;0
7130;2018-03-24T10:00:00+01:00;99610;290;3;90;4.1;282.45;280.05;85;19600;0;;;100;7;450;;;;99170;;;-1130;;;;;279.650000;;;6.200000;6.200000;-10;0;0.000000;;;0.0;0.0;0.000000;0.4;0.8;;;;;7;;330;7;;480;7;;960;;;;48.068833, -1.734;RENNES-ST JACQUES;3;;0
7130;2018-03-24T13:00:00+01:00;99820;210;1;90;3.5;282.25;280.05;86;11430;61;;;100;8;450;;;;99380;;;-670;;;;;279.650000;;;4.900000;6.000000;-10;0;0.000000;;;-0.1;-0.1;-0.100000;0.2;0.8;;;;;2;;420;7;;630;8;;810;;;;48.068833, -1.734;RENNES-ST JACQUES;1;;61
7130;2018-03-25T05:00:00+02:00;100340;70;2;20;1.8;281.25;280.95;98;2790;61;;;100;8;150;;;;99890;;;1160;;;;;281.350000;;;3.100000;3.400000;-10;2;0.000000;;;0.2;1.2;2.000000;3.2;3.2;;;;;8;;150;;;;;;;;;;48.068833, -1.734;RENNES-ST JACQUES;2;;61
7130;2018-03-15T01:00:00+01:00;98840;-10;8;170;4.0;282.05;280.95;93;19510;58;;;100;7;450;;;;98400;;;-2280;;;;;282.050000;;;5.500000;7.800000;-10;2;0.000000;;;-0.1;3.5;7.900000;8.9;8.9;;;;;3;;390;5;;660;7;;1050;;;;48.068833, -1.734;RENNES-ST JACQUES;8;;58
7130;2018-03-15T22:00:00+01:00;99460;320;1;210;3.7;280.95;279.05;88;14880;0;;;;0;;;;;99020;;;610;;;;;280.850000;;;5.500000;7.100000;-10;0;0.000000;;;0.0;0.0;0.400000;2.0;6.7;;;;;;;;;;;;;;;;;48.068833, -1.734;RENNES-ST JACQUES;1;;0
7130;2018-03-16T13:00:00+01:00;100010;20;0;170;3.5;283.65;279.95;78;19620;0;;;90;7;1750;;;;99570;;;1150;;;;;279.350000;;;5.400000;8.400000;-10;2;0.000000;;;1.2;1.2;2.400000;2.4;4.4;;;;;2;;1500;3;;3600;7;;6900;;8;;48.068833, -1.734;RENNES-ST JACQUES;0;;0
7130;2018-01-31T22:00:00+01:00;101070;-50;7;270;4.2;278.65;275.85;82;46170;0;;;;0;;;;;100610;;;-1550;;;;;280.250000;;;6.300000;7.000000;-10;1;0.000000;;;0.0;-0.1;0.600000;4.8;4.8;;;;;;;;;;;;;;;;;48.068833, -1.734;RENNES-ST JACQUES;7;;0
7130;2018-02-02T10:00:00+01:00;101470;80;3;310;2.5;276.55;275.55;93;19220;0;;;;3;1750;;;;101010;;;560;;;;;277.850000;;;3.300000;5.700000;-10;2;0.000000;;;0.0;-0.1;-0.100000;0.6;0.6;;;;;3;;1500;;;;;;;;;;48.068833, -1.734;RENNES-ST JACQUES;3;;0
7130;2018-01-25T16:00:00+01:00;101220;-100;6;210;2.8;283.05;279.75;80;43830;0;;;;3;5040;;;;100770;;;-120;;;;;280.650000;;;4.000000;4.800000;-10;0;0.000000;;;0.0;0.0;0.000000;0.0;3.0;;;;;3;;5040;;;;;;;;;;48.068833, -1.734;RENNES-ST JACQUES;6;;0
7130;2018-01-28T04:00:00+01:00;103550;50;3;210;2.5;283.15;282.95;99;720;45;;;101;9;30;;;;103090;;;500;;;;;281.250000;;;3.500000;4.100000;-10;2;0.000000;;;0.0;0.0;0.000000;-0.1;-0.1;;;;;0;0;;;;;;;;;;;48.068833, -1.734;RENNES-ST JACQUES;3;;45
7130;2018-02-05T07:00:00+01:00;102340;-20;7;20;3.4;271.65;268.85;81;21740;0;;;;0;;;;;101870;;;940;271.650000;;276.450000;;275.450000;;;4.700000;6.500000;-10;0;0.000000;;;0.0;0.0;0.000000;0.0;0.0;;;;;;;;;;;;;;;;;48.068833, -1.734;RENNES-ST JACQUES;7;;0
7130;2018-01-30T10:00:00+01:00;103150;-50;7;200;3.8;282.85;282.55;98;4390;10;;;100;8;80;;;;102690;;;-460;;;;;282.350000;;;5.600000;5.600000;-10;2;0.000000;;;0.2;0.2;0.200000;0.2;0.2;;;;;8;;90;;;;;;;;;;48.068833, -1.734;RENNES-ST JACQUES;7;;10
7130;2018-01-01T16:00:00+01:00;100750;630;3;300;6.6;281.55;278.85;83;51020;0;;;;1;1250;;;;100300;;;390;;;;;279.750000;;;9.400000;17.500000;-10;0;0.000000;;;0.2;0.2;3.800000;10.3;10.7;;;;;1;;1200;;;;;;;;;;48.068833, -1.734;RENNES-ST JACQUES;3;;0
7130;2018-01-03T22:00:00+01:00;101080;-220;8;220;2.6;283.05;282.45;96;3660;61;;;100;8;250;;;;100630;;;70;;;;;281.450000;;;4.000000;6.900000;-10;5;;;;1.0;1.6;1.600000;1.6;2.0;;;;;7;;240;8;;420;;;;;;;48.068833, -1.734;RENNES-ST JACQUES;8;;61
7130;2018-03-02T13:00:00+01:00;98790;290;1;210;8.9;280.95;275.65;69;19100;0;;;100;8;800;;;;98350;;;-30;;;;;276.850000;;;14.900000;15.400000;-10;0;0.000000;;;0.0;0.0;-0.100000;2.9;8.7;;;;;6;;870;8;;1080;;8;;;;;48.068833, -1.734;RENNES-ST JACQUES;1;;0
