end_time,distance,,,,,,,,,,
2018-07-04,1517.0459,,,,,,,,,,
2018-06-26,1871.6289,,,,,,,,,,
2018-09-28,1763.9653,,,,,,,,,,
2018-07-04,1366.7617,,,,,,,,,,
2018-08-14,2116.3086,,,,,,,,,,
2018-10-13,1269.3281,,,,,,,,,,
2018-09-29,1290.0801,,,,,,,,,,
2018-10-19,1128.792,,,,,,,,,,
2018-08-23,1343.9971,,,,,,,,,,
2018-08-10,1742.3945,,,,,,,,,,
2018-07-14,1181.542,,,,,,,,,,
2018-07-04,1628.5049,,,,,,,,,,
2019-01-21,1413.4377,,,,,,,,,,
2018-11-04,2348.7117,,,,,,,,,,
2018-07-24,2242.498,,,,,,,,,,
2019-01-04,937.6821,,,,,,,,,,
2018-08-27,1082.6313,,,,,,,,,,
2019-01-12,951.81055,,,,,,,,,,
2018-08-16,1608.8743,,,,,,,,,,
2018-06-06,1515.2383,,,,,,,,,,
2018-09-15,982.80664,,,,,,,,,,
2018-07-13,2987.9734,,,,,,,,,,
2018-06-13,3157.9287,,,,,,,,,,
2018-08-09,2027.5898,,,,,,,,,,
2018-06-05,1783.0605,,,,,,,,,,
2018-12-30,1398.2881,,,,,,,,,,
2018-08-08,872.58203,,,,,,,,,,
2018-07-03,3101.3604,,,,,,,,,,
2018-06-28,2987.086,,,,,,,,,,
2019-01-10,1117.0293,,,,,,,,,,
2018-08-10,2514.6543,,,,,,,,,,
2018-07-23,947.3439,,,,,,,,,,
2018-06-08,1883.4102,,,,,,,,,,
2018-06-22,1609.9062,,,,,,,,,,
2018-06-15,2406.9575,,,,,,,,,,
2018-11-04,979.9072,,,,,,,,,,
2019-01-13,861.5293,,,,,,,,,,
2018-12-08,824.10547,,,,,,,,,,
2018-07-19,2066.7148,,,,,,,,,,
2018-06-14,1284.1973,,,,,,,,,,
2018-07-02,1469.1846,,,,,,,,,,
2019-01-23,2539.8481,,,,,,,,,,
2018-09-23,1471.9658,,,,,,,,,,
2018-06-10,2488.0625,,,,,,,,,,
2018-12-01,1555.5908,,,,,,,,,,
2018-10-13,2133.7207,,,,,,,,,,
2018-07-05,927.61914,,,,,,,,,,
2018-06-08,1098.8906,,,,,,,,,,
2018-07-07,915.8828,,,,,,,,,,
2018-08-10,1400.0371,,,,,,,,,,
2018-08-18,1039.707,,,,,,,,,,
2018-07-26,1881.3008,,,,,,,,,,
2018-09-22,1195.1826,,,,,,,,,,
2018-10-20,1904.6494,,,,,,,,,,
2018-06-20,3027.6816,,,,,,,,,,
2018-06-06,1523.7852,,,,,,,,,,
2019-01-07,5245.6445,,,,,,,,,,
2018-07-20,2993.2192,,,,,,,,,,
2018-06-03,3217.1816,,,,,,,,,,
2018-06-20,2458.998,,,,,,,,,,
2018-07-09,1867.6077,,,,,,,,,,
2018-11-01,873.33594,,,,,,,,,,
2018-11-10,1386.2051,,,,,,,,,,
2018-07-06,3022.338,,,,,,,,,,
2018-06-21,1841.4902,,,,,,,,,,
2019-01-16,1233.1274,,,,,,,,,,
2018-08-14,1816.7695,,,,,,,,,,
2018-10-06,1565.0664,,,,,,,,,,
2018-10-06,1591.773,,,,,,,,,,
2018-11-03,1147.8044,,,,,,,,,,
2018-08-06,2678.6807,,,,,,,,,,
2018-07-26,1245.0938,,,,,,,,,,
2018-07-16,2375.916,,,,,,,,,,
2018-08-12,1421.7715,,,,,,,,,,
2018-07-10,3354.2734,,,,,,,,,,
2018-11-01,1589.4375,,,,,,,,,,
2018-08-13,1148.7422,,,,,,,,,,
2018-10-13,1662.1797,,,,,,,,,,
