Title	Given planned earliest start	Given planned earliest end	Notes	Assigned Resources	Additional Title
"Automatique Avancée / Extraction de connaissances et apprentissage artificiel / Extraction de Connaissances et apprentissage artificiel (Cours)"	"11/05/2018 10:15 AM CET"	"11/05/2018 12:15 PM CET"	"Enseignant : SAIDI Alexandre Groupe : MOD 7.2"	""	"Amphi 1"
"Anglais fort (BE)"	"11/06/2018 10:15 AM CET"	"11/06/2018 12:15 PM CET"	"Enseignant : CHENUET Claudine Groupe : A4-9208"	""	"Salle 214"
"Systèmes embarqués en environnement hostile / Systèmes embarqués sécurisés (Autonomie)"	"11/06/2018 02:00 PM CET"	"11/06/2018 04:00 PM CET"	"Groupe : MOD 3.3"	""	""
"Représentation et manipulation de données structurées (Cours)"	"11/06/2018 04:15 PM CET"	"11/06/2018 06:15 PM CET"	"Enseignant : MULLER Daniel Groupe : MOD 8.4"	""	"Salle 104"
"Systèmes embarqués en environnement hostile / Systèmes embarqués sécurisés (Autonomie)"	"11/07/2018 08:00 AM CET"	"11/07/2018 10:00 AM CET"	"Groupe : MOD 3.3"	""	""
"Systèmes embarqués en environnement hostile / Systèmes embarqués sécurisés (Autonomie)"	"11/07/2018 10:15 AM CET"	"11/07/2018 12:15 PM CET"	"Groupe : MOD 3.3"	""	""
"Défis informatiques du Big Data (TP)"	"11/07/2018 02:00 PM CET"	"11/07/2018 04:00 PM CET"	"Enseignant : DERRODE Stéphane Groupe : MOD 2.1_1"	""	"Salle 11"
"Défis informatiques du Big Data (TP)"	"11/07/2018 04:15 PM CET"	"11/07/2018 06:15 PM CET"	"Enseignant : DERRODE Stéphane Groupe : MOD 2.1_1"	""	"Salle 11"
"Gestion du Projet de recherche et Interdisciplinarité (Cours)"	"11/08/2018 08:00 AM CET"	"11/08/2018 10:00 AM CET"	"Enseignant : CREYSSELS Mathieu, ROGER Michel Groupe : IRD_MSM"	""	"Amphi 201"
"Gestion du Projet de recherche et Interdisciplinarité (Cours)"	"11/08/2018 10:15 AM CET"	"11/08/2018 12:15 PM CET"	"Enseignant : CREYSSELS Mathieu, ROGER Michel Groupe : IRD_MSM"	""	"Amphi 201"
"Gestion du Projet de recherche et Interdisciplinarité (Restitution)"	"11/08/2018 02:00 PM CET"	"11/08/2018 04:00 PM CET"	"Enseignant : CREYSSELS Mathieu, ROGER Michel Groupe : IRD_MSM"	""	"Amphi 203"
"Gestion du Projet de recherche et Interdisciplinarité (Restitution)"	"11/08/2018 04:15 PM CET"	"11/08/2018 06:15 PM CET"	"Enseignant : CREYSSELS Mathieu, ROGER Michel Groupe : IRD_MSM"	""	"Amphi 203"
"Journée Partenaires"	"11/12/2018 08:00 AM CET"	"11/12/2018 06:00 PM CET"	"Groupe : Liste inscrits S9"	""	""
"Forum Perspectives"	"11/13/2018 08:00 AM CET"	"11/13/2018 06:00 PM CET"	"Groupe : Liste inscrits S9"	""	""
"Systèmes embarqués en environnement hostile / Systèmes embarqués sécurisés (TP)"	"11/14/2018 08:00 AM CET"	"11/14/2018 10:00 AM CET"	"Enseignant : MARCHAND Cédric Groupe : MOD 3.3_1"	""	"F7 - 1Etg"
"Systèmes embarqués en environnement hostile / Systèmes embarqués sécurisés (TP)"	"11/14/2018 10:15 AM CET"	"11/14/2018 12:15 PM CET"	"Enseignant : MARCHAND Cédric Groupe : MOD 3.3_1"	""	"F7 - 1Etg"
"Réseaux informatiques (BE)"	"11/15/2018 08:00 AM CET"	"11/15/2018 10:00 AM CET"	"Enseignant : CHALON René Groupe : MOD 9.5_1"	""	"Salle 20"
"Réseaux informatiques (BE)"	"11/15/2018 10:15 AM CET"	"11/15/2018 12:15 PM CET"	"Enseignant : CHALON René Groupe : MOD 9.5_1"	""	"Salle 20"
"Droit de l'entreprise (Cours)"	"11/16/2018 08:00 AM CET"	"11/16/2018 10:00 AM CET"	"Enseignant : DEL PUPPO Sophie Groupe : MOM 3.1"	""	"Amphi 202"
"Intelligence économique et protection de l'information (Cours)"	"11/16/2018 10:15 AM CET"	"11/16/2018 12:15 PM CET"	"Enseignant : MIRA BONNARDEL Sylvie Groupe : MOM 2.2"	""	"Amphi 1bis"
"Réseaux informatiques (Cours)"	"11/16/2018 01:30 PM CET"	"11/16/2018 03:30 PM CET"	"Enseignant : CHALON René Groupe : MOD 9.5"	""	"Amphi 201"
"Système de bases de données / Systèmes de bases de données (Cours)"	"11/16/2018 03:45 PM CET"	"11/16/2018 05:45 PM CET"	"Enseignant : CHEN Liming Groupe : MOD 4.6"	""	"Amphi 201"
"Défis informatiques du Big Data (Cours)"	"11/19/2018 08:00 AM CET"	"11/19/2018 10:00 AM CET"	"Enseignant : DELLANDREA Emmanuel, DERRODE Stéphane Groupe : MOD 2.1"	""	"Amphi 201"
"Automatique Avancée / Extraction de connaissances et apprentissage artificiel / Extraction de Connaissances et apprentissage artificiel (Cours)"	"11/19/2018 10:15 AM CET"	"11/19/2018 12:15 PM CET"	"Enseignant : SAIDI Alexandre Groupe : MOD 7.2"	""	"Amphi 201"
"Représentation et manipulation de données structurées (BE)"	"11/19/2018 02:00 PM CET"	"11/19/2018 04:00 PM CET"	"Enseignant : MULLER Daniel Groupe : MOD 8.4_1"	""	"H9 - BE - TIC"
"Représentation et manipulation de données structurées (BE)"	"11/19/2018 04:15 PM CET"	"11/19/2018 06:15 PM CET"	"Enseignant : MULLER Daniel Groupe : MOD 8.4_1"	""	"H9 - BE - TIC"
"Automatique Avancée / Extraction de connaissances et apprentissage artificiel / Extraction de Connaissances et apprentissage artificiel (BE)"	"11/20/2018 08:00 AM CET"	"11/20/2018 10:00 AM CET"	"Enseignant : SAIDI Alexandre Groupe : MOD 7.2_a"	""	"Salle 120"
"Automatique Avancée / Extraction de connaissances et apprentissage artificiel / Extraction de Connaissances et apprentissage artificiel (BE)"	"11/20/2018 10:15 AM CET"	"11/20/2018 12:15 PM CET"	"Enseignant : SAIDI Alexandre Groupe : MOD 7.2_a"	""	"Salle 120"
"Systèmes embarqués en environnement hostile / Systèmes embarqués sécurisés (Autonomie)"	"11/20/2018 02:00 PM CET"	"11/20/2018 04:00 PM CET"	"Groupe : MOD 3.3"	""	""
"Représentation et manipulation de données structurées (Cours)"	"11/20/2018 04:15 PM CET"	"11/20/2018 06:15 PM CET"	"Enseignant : MULLER Daniel Groupe : MOD 8.4"	""	"Salle 103"
"Anglais fort (BE)"	"11/21/2018 08:00 AM CET"	"11/21/2018 10:00 AM CET"	"Enseignant : CHENUET Claudine Groupe : A4-9305"	""	"Salle 214"
"Système de bases de données / Systèmes de bases de données (Cours)"	"11/22/2018 08:00 AM CET"	"11/22/2018 10:00 AM CET"	"Enseignant : CHEN Liming Groupe : MOD 4.6"	""	"Amphi 1"
"Droit de l'entreprise (Cours)"	"11/23/2018 08:00 AM CET"	"11/23/2018 10:00 AM CET"	"Enseignant : DEL PUPPO Sophie Groupe : MOM 3.1"	""	"Amphi 203"
"Intelligence économique et protection de l'information (Cours)"	"11/23/2018 10:15 AM CET"	"11/23/2018 12:15 PM CET"	"Enseignant : MIRA BONNARDEL Sylvie Groupe : MOM 2.2"	""	"Amphi 1bis"
"Réseaux informatiques (Cours)"	"11/23/2018 01:30 PM CET"	"11/23/2018 03:30 PM CET"	"Enseignant : CHALON René Groupe : MOD 9.5"	""	"Amphi 203"
"Système de bases de données / Systèmes de bases de données (BE)"	"11/23/2018 03:45 PM CET"	"11/23/2018 05:45 PM CET"	"Enseignant : CHEN Liming Groupe : MOD 4.6_1"	""	"Salle 101"
"Défis informatiques du Big Data (Cours)"	"11/26/2018 08:00 AM CET"	"11/26/2018 10:00 AM CET"	"Enseignant : GUIGNOT Hervé, DERRODE Stéphane Groupe : MOD 2.1"	""	"Amphi 201"
"Automatique Avancée / Extraction de connaissances et apprentissage artificiel / Extraction de Connaissances et apprentissage artificiel (Cours)"	"11/26/2018 10:15 AM CET"	"11/26/2018 12:15 PM CET"	"Enseignant : SAIDI Alexandre Groupe : MOD 7.2"	""	"Amphi 201"
"Systèmes embarqués en environnement hostile / Systèmes embarqués sécurisés (Autonomie)"	"11/27/2018 02:00 PM CET"	"11/27/2018 04:00 PM CET"	"Groupe : MOD 3.3"	""	""
"Représentation et manipulation de données structurées (Cours)"	"11/27/2018 04:15 PM CET"	"11/27/2018 06:15 PM CET"	"Enseignant : MULLER Daniel Groupe : MOD 8.4"	""	"Salle 104"
"Systèmes embarqués en environnement hostile / Systèmes embarqués sécurisés (TP)"	"11/28/2018 08:00 AM CET"	"11/28/2018 10:00 AM CET"	"Enseignant : MARCHAND Cédric Groupe : MOD 3.3_1"	""	"F7 - 1Etg"
"Systèmes embarqués en environnement hostile / Systèmes embarqués sécurisés (TP)"	"11/28/2018 10:15 AM CET"	"11/28/2018 12:15 PM CET"	"Enseignant : MARCHAND Cédric Groupe : MOD 3.3_1"	""	"F7 - 1Etg"
"Défis informatiques du Big Data (TP)"	"11/28/2018 02:00 PM CET"	"11/28/2018 04:00 PM CET"	"Enseignant : CHALON René, DERRODE Stéphane Groupe : MOD 2.1_1"	""	"Salle 19"
"Défis informatiques du Big Data (TP)"	"11/28/2018 04:15 PM CET"	"11/28/2018 06:15 PM CET"	"Enseignant : CHALON René, DERRODE Stéphane Groupe : MOD 2.1_1"	""	"Salle 19"
"Système de bases de données / Systèmes de bases de données (Cours)"	"11/29/2018 08:00 AM CET"	"11/29/2018 10:00 AM CET"	"Enseignant : CHEN Liming Groupe : MOD 4.6"	""	"EMLyon - Salle 374"
"Droit de l'entreprise (Cours)"	"11/30/2018 08:00 AM CET"	"11/30/2018 10:00 AM CET"	"Enseignant : DEL PUPPO Sophie Groupe : MOM 3.1"	""	"Amphi 202"
"Intelligence économique et protection de l'information (Cours)"	"11/30/2018 10:15 AM CET"	"11/30/2018 12:15 PM CET"	"Enseignant : MIRA BONNARDEL Sylvie Groupe : MOM 2.2"	""	"Amphi 1bis"
"Réseaux informatiques (Cours)"	"11/30/2018 01:30 PM CET"	"11/30/2018 03:30 PM CET"	"Enseignant : CHALON René Groupe : MOD 9.5"	""	"Amphi 201"
"Système de bases de données / Systèmes de bases de données (BE)"	"11/30/2018 03:45 PM CET"	"11/30/2018 05:45 PM CET"	"Enseignant : CHEN Liming Groupe : MOD 4.6_1"	""	"Salle 117"
"Défis informatiques du Big Data (Cours)"	"12/03/2018 08:00 AM CET"	"12/03/2018 10:00 AM CET"	"Enseignant : DERRODE Stéphane Groupe : MOD 2.1"	""	"Amphi 201"
"Automatique Avancée / Extraction de connaissances et apprentissage artificiel / Extraction de Connaissances et apprentissage artificiel (Cours)"	"12/03/2018 10:15 AM CET"	"12/03/2018 12:15 PM CET"	"Enseignant : SAIDI Alexandre Groupe : MOD 7.2"	""	"Amphi 1bis"
"Représentation et manipulation de données structurées (BE)"	"12/03/2018 02:00 PM CET"	"12/03/2018 04:00 PM CET"	"Enseignant : MULLER Daniel Groupe : MOD 8.4_1"	""	"H9 - BE - TIC"
"Représentation et manipulation de données structurées (BE)"	"12/03/2018 04:15 PM CET"	"12/03/2018 06:15 PM CET"	"Enseignant : MULLER Daniel Groupe : MOD 8.4_1"	""	"H9 - BE - TIC"
"Systèmes embarqués en environnement hostile / Systèmes embarqués sécurisés (Autonomie)"	"12/04/2018 02:00 PM CET"	"12/04/2018 04:00 PM CET"	"Groupe : MOD 3.3"	""	""
"Représentation et manipulation de données structurées (Cours)"	"12/04/2018 04:15 PM CET"	"12/04/2018 06:15 PM CET"	"Enseignant : MULLER Daniel Groupe : MOD 8.4"	""	"Salle 102"
"Journée d'Option"	"12/05/2018 08:00 AM CET"	"12/05/2018 12:15 PM CET"	"Groupe : Liste inscrits S9"	""	""
"Journée d'Option"	"12/05/2018 02:00 PM CET"	"12/05/2018 06:15 PM CET"	"Groupe : Liste inscrits S9"	""	""
"Système de bases de données / Systèmes de bases de données (Autonomie)"	"12/06/2018 08:00 AM CET"	"12/06/2018 10:00 AM CET"	"Groupe : MOD 4.6"	""	""
"Système de bases de données / Systèmes de bases de données (Autonomie)"	"12/06/2018 10:15 AM CET"	"12/06/2018 12:15 PM CET"	"Groupe : MOD 4.6"	""	""
"Système de bases de données / Systèmes de bases de données (Autonomie)"	"12/07/2018 08:00 AM CET"	"12/07/2018 10:00 AM CET"	"Groupe : MOD 4.6"	""	""
"Réseaux informatiques (Autonomie)"	"12/07/2018 01:30 PM CET"	"12/07/2018 03:30 PM CET"	"Groupe : MOD 9.5"	""	""
"Système de bases de données / Systèmes de bases de données (Restitution)"	"12/07/2018 03:45 PM CET"	"12/07/2018 05:45 PM CET"	"Enseignant : CHEN Liming Groupe : MOD 4.6_1"	""	"Salle 112"
"Automatique Avancée / Extraction de connaissances et apprentissage artificiel / Extraction de Connaissances et apprentissage artificiel (BE)"	"12/11/2018 08:00 AM CET"	"12/11/2018 10:00 AM CET"	"Enseignant : SAIDI Alexandre Groupe : MOD 7.2_a"	""	"Salle 20"
"Automatique Avancée / Extraction de connaissances et apprentissage artificiel / Extraction de Connaissances et apprentissage artificiel (BE)"	"12/11/2018 10:15 AM CET"	"12/11/2018 12:15 PM CET"	"Enseignant : SAIDI Alexandre Groupe : MOD 7.2_a"	""	"Salle 20"
"Système de bases de données / Systèmes de bases de données (Autonomie)"	"12/14/2018 08:00 AM CET"	"12/14/2018 10:00 AM CET"	"Groupe : MOD 4.6"	""	""
"Représentation et manipulation de données structurées (Autonomie)"	"12/17/2018 08:00 AM CET"	"12/17/2018 10:00 AM CET"	"Groupe : MOD 8.4"	""	""
"Représentation et manipulation de données structurées (Autonomie)"	"12/17/2018 10:15 AM CET"	"12/17/2018 12:15 PM CET"	"Groupe : MOD 8.4"	""	""
"Défis informatiques du Big Data (Examen)"	"12/18/2018 08:00 AM CET"	"12/18/2018 10:00 AM CET"	"Enseignant : DELLANDREA Emmanuel, DERRODE Stéphane Groupe : MOD 2.1"	""	"Amphi 201, Amphi 202"
"Extraction de connaissances et apprentissage artificiel / Extraction de Connaissances et apprentissage artificiel (Examen)"	"12/18/2018 02:00 PM CET"	"12/18/2018 04:00 PM CET"	"Enseignant : SAIDI Alexandre Groupe : MOD 7.2"	""	"Amphi 3, Salle 106"
"Systèmes embarqués en environnement hostile / Systèmes embarqués sécurisés (Examen)"	"12/19/2018 08:00 AM CET"	"12/19/2018 10:00 AM CET"	"Enseignant : NAVARRO David, MARCHAND Cédric Groupe : MOD 3.3"	""	"Amphi 1bis"
"Représentation et manipulation de données structurées (Examen)"	"12/19/2018 02:00 PM CET"	"12/19/2018 04:00 PM CET"	"Enseignant : MULLER Daniel Groupe : MOD 8.4"	""	"Amphi 2"
"Droit de l'entreprise (Examen)"	"12/20/2018 08:00 AM CET"	"12/20/2018 10:00 AM CET"	"Enseignant : MIRA BONNARDEL Sylvie Groupe : MOM 3.1"	""	"Amphi 203"
"Intelligence économique et protection de l'information (Examen)"	"12/20/2018 10:30 AM CET"	"12/20/2018 12:30 PM CET"	"Enseignant : MIRA BONNARDEL Sylvie Groupe : MOM 2.2"	""	"Amphi 3"
"Réseaux informatiques (Examen)"	"12/21/2018 08:00 AM CET"	"12/21/2018 10:00 AM CET"	"Enseignant : CHALON René Groupe : MOD 9.5"	""	"Amphi 201, Amphi 202"
"Système de bases de données / Systèmes de bases de données (Examen)"	"12/21/2018 01:30 PM CET"	"12/21/2018 03:30 PM CET"	"Enseignant : CHEN Liming Groupe : MOD 4.6"	""	"Amphi 201, Amphi 202"
"Anglais fort (TD)"	"01/09/2019 08:00 AM CET"	"01/09/2019 10:00 AM CET"	"Enseignant : GAUTHIER-BOTTET Martine Groupe : A4-9_2-03"	""	"Salle 217 - LL"
"Hybrid electric vehicles : modelling and energy management / Véhicules hybrides : modélisation et gestion de l'énergie (Cours)"	"01/09/2019 02:00 PM CET"	"01/09/2019 04:00 PM CET"	"Enseignant : MOREL Florent, KABALAN Bilal Groupe : MOS 3.3"	""	"Salle 104"
"Hybrid electric vehicles : modelling and energy management / Véhicules hybrides : modélisation et gestion de l'énergie (Cours)"	"01/09/2019 04:15 PM CET"	"01/09/2019 06:15 PM CET"	"Enseignant : MOREL Florent, VINOT Emmanuel Groupe : MOS 3.3"	""	"Salle 104"
"Modélisation et gestion du trafic (Cours)"	"01/11/2019 08:00 AM CET"	"01/11/2019 09:00 AM CET"	"Groupe : MOS 3.4"	""	"Amphi 201"
"Modélisation et gestion du trafic (BE)"	"01/11/2019 09:00 AM CET"	"01/11/2019 12:15 PM CET"	"Groupe : MOS 3.4"	""	"Amphi 201"
"Visualisation interactive de données / Visualisation interactive des données (Cours)"	"01/11/2019 01:30 PM CET"	"01/11/2019 03:30 PM CET"	"Enseignant : VUILLEMOT Romain Groupe : MOS 5.5"	""	"Salle 104"
"Visualisation interactive de données / Visualisation interactive des données (TP)"	"01/11/2019 03:45 PM CET"	"01/11/2019 05:45 PM CET"	"Enseignant : VUILLEMOT Romain Groupe : MOS 5.5"	""	"Salle 104"
"Anglais fort (TD)"	"01/16/2019 08:00 AM CET"	"01/16/2019 10:00 AM CET"	"Enseignant : GAUTHIER-BOTTET Martine Groupe : A4-9_2-03"	""	"Salle 217 - LL"
"Hybrid electric vehicles : modelling and energy management / Véhicules hybrides : modélisation et gestion de l'énergie (Cours)"	"01/16/2019 02:00 PM CET"	"01/16/2019 04:00 PM CET"	"Enseignant : MOREL Florent, REDONDO IGLESIAS Eduardo Groupe :MOS 3.3"	""	"Salle 102"
"Hybrid electric vehicles : modelling and energy management / Véhicules hybrides : modélisation et gestion de l'énergie (Cours)"	"01/16/2019 04:15 PM CET"	"01/16/2019 06:15 PM CET"	"Enseignant : MOREL Florent, VINOT Emmanuel Groupe : MOS 3.3"	""	"Salle 102"
"Visualisation interactive de données / Visualisation interactive des données (Cours)"	"01/18/2019 01:30 PM CET"	"01/18/2019 03:30 PM CET"	"Enseignant : VUILLEMOT Romain Groupe : MOS 5.5"	""	"Salle 17"
"Visualisation interactive de données / Visualisation interactive des données (TP)"	"01/18/2019 03:45 PM CET"	"01/18/2019 05:45 PM CET"	"Enseignant : VUILLEMOT Romain Groupe : MOS 5.5"	""	"Salle 17"
"Anglais fort (TD)"	"01/23/2019 08:00 AM CET"	"01/23/2019 10:00 AM CET"	"Enseignant : GAUTHIER-BOTTET Martine Groupe : A4-9_2-03"	""	"Salle 217 - LL"
"Hybrid electric vehicles : modelling and energy management / Véhicules hybrides : modélisation et gestion de l'énergie (Cours)"	"01/23/2019 02:00 PM CET"	"01/23/2019 04:00 PM CET"	"Enseignant : MOREL Florent, JEANNERET Bruno Groupe : MOS 3.3"	""	"Salle 12"
"Hybrid electric vehicles : modelling and energy management / Véhicules hybrides : modélisation et gestion de l'énergie (Cours)"	"01/23/2019 04:15 PM CET"	"01/23/2019 06:15 PM CET"	"Enseignant : MOREL Florent, JEANNERET Bruno Groupe : MOS 3.3"	""	"Salle 12"
"Modélisation et gestion du trafic (Cours)"	"01/25/2019 08:00 AM CET"	"01/25/2019 10:00 AM CET"	"Enseignant : LECLERCQ Ludovic Groupe : MOS 3.4"	""	"Amphi 1bis"
"Modélisation et gestion du trafic (Cours)"	"01/25/2019 10:15 AM CET"	"01/25/2019 12:15 PM CET"	"Enseignant : LECLERCQ Ludovic Groupe : MOS 3.4"	""	"Amphi 1bis"
"Visualisation interactive de données / Visualisation interactive des données (Cours)"	"01/25/2019 01:30 PM CET"	"01/25/2019 03:30 PM CET"	"Enseignant : VUILLEMOT Romain Groupe : MOS 5.5"	""	"Salle 103"
"Visualisation interactive de données / Visualisation interactive des données (TP)"	"01/25/2019 03:45 PM CET"	"01/25/2019 05:45 PM CET"	"Enseignant : VUILLEMOT Romain Groupe : MOS 5.5"	""	"Salle 103"
"Anglais fort (TD)"	"01/30/2019 08:00 AM CET"	"01/30/2019 10:00 AM CET"	"Enseignant : GAUTHIER-BOTTET Martine Groupe : A4-9_2-03"	""	"Salle 217 - LL"
"Hybrid electric vehicles : modelling and energy management / Véhicules hybrides : modélisation et gestion de l'énergie (Cours)"	"01/30/2019 02:00 PM CET"	"01/30/2019 04:00 PM CET"	"Enseignant : MOREL Florent, VINOT Emmanuel Groupe : MOS 3.3"	""	"Amphi 201"
"Hybrid electric vehicles : modelling and energy management / Véhicules hybrides : modélisation et gestion de l'énergie (Cours)"	"01/30/2019 04:15 PM CET"	"01/30/2019 06:15 PM CET"	"Enseignant : MOREL Florent, REDONDO IGLESIAS Eduardo Groupe :MOS 3.3"	""	"Amphi 201"
"Modélisation et gestion du trafic (Cours)"	"02/01/2019 08:00 AM CET"	"02/01/2019 10:00 AM CET"	"Enseignant : LECLERCQ Ludovic Groupe : MOS 3.4"	""	"Salle 102"
"Modélisation et gestion du trafic (Cours)"	"02/01/2019 10:15 AM CET"	"02/01/2019 12:15 PM CET"	"Enseignant : LECLERCQ Ludovic Groupe : MOS 3.4"	""	"Salle 102"
"Visualisation interactive de données / Visualisation interactive des données (Cours)"	"02/01/2019 01:30 PM CET"	"02/01/2019 03:30 PM CET"	"Enseignant : VUILLEMOT Romain Groupe : MOS 5.5"	""	"Salle 101"
"Visualisation interactive de données / Visualisation interactive des données (TP)"	"02/01/2019 03:45 PM CET"	"02/01/2019 05:45 PM CET"	"Enseignant : VUILLEMOT Romain Groupe : MOS 5.5"	""	"Salle 101"
"Anglais fort (TD)"	"02/06/2019 08:00 AM CET"	"02/06/2019 10:00 AM CET"	"Enseignant : GAUTHIER-BOTTET Martine Groupe : A4-9_2-03"	""	"Salle 217 - LL"
"Hybrid electric vehicles : modelling and energy management / Véhicules hybrides : modélisation et gestion de l'énergie (BE)"	"02/06/2019 02:00 PM CET"	"02/06/2019 04:00 PM CET"	"Enseignant : MOREL Florent Groupe : MOS 3.3"	""	"H10 - micro4, H10 - micro3"
"Hybrid electric vehicles : modelling and energy management / Véhicules hybrides : modélisation et gestion de l'énergie (BE)"	"02/06/2019 04:15 PM CET"	"02/06/2019 06:15 PM CET"	"Enseignant : MOREL Florent Groupe : MOS 3.3"	""	"H10 - micro4, H10 - micro3"
"Modélisation et gestion du trafic (Cours)"	"02/08/2019 08:00 AM CET"	"02/08/2019 10:00 AM CET"	"Enseignant : LECLERCQ Ludovic Groupe : MOS 3.4"	""	"Salle 102"
"Modélisation et gestion du trafic (Cours)"	"02/08/2019 10:15 AM CET"	"02/08/2019 12:15 PM CET"	"Enseignant : LECLERCQ Ludovic Groupe : MOS 3.4"	""	"Salle 102"
"Visualisation interactive de données / Visualisation interactive des données (Cours)"	"02/08/2019 01:30 PM CET"	"02/08/2019 03:30 PM CET"	"Enseignant : VUILLEMOT Romain Groupe : MOS 5.5"	""	"Salle 101"
"Visualisation interactive de données / Visualisation interactive des données (TP)"	"02/08/2019 03:45 PM CET"	"02/08/2019 05:45 PM CET"	"Enseignant : VUILLEMOT Romain Groupe : MOS 5.5"	""	"Salle 101"
"Anglais fort (TD)"	"02/13/2019 08:00 AM CET"	"02/13/2019 10:00 AM CET"	"Enseignant : GAUTHIER-BOTTET Martine Groupe : A4-9_2-03"	""	"Salle 217 - LL"
"Hybrid electric vehicles : modelling and energy management / Véhicules hybrides : modélisation et gestion de l'énergie (BE)"	"02/13/2019 02:00 PM CET"	"02/13/2019 04:00 PM CET"	"Enseignant : MOREL Florent Groupe : MOS 3.3"	""	"H10 - micro4, H10 - micro3"
"Hybrid electric vehicles : modelling and energy management / Véhicules hybrides : modélisation et gestion de l'énergie (BE)"	"02/13/2019 04:15 PM CET"	"02/13/2019 06:15 PM CET"	"Enseignant : MOREL Florent Groupe : MOS 3.3"	""	"H10 - micro4, H10 - micro3"
"Modélisation et gestion du trafic (Cours)"	"02/15/2019 08:00 AM CET"	"02/15/2019 10:00 AM CET"	"Enseignant : LECLERCQ Ludovic Groupe : MOS 3.4"	""	"Salle 102"
"Modélisation et gestion du trafic (Cours)"	"02/15/2019 10:15 AM CET"	"02/15/2019 12:15 PM CET"	"Enseignant : LECLERCQ Ludovic Groupe : MOS 3.4"	""	"Salle 102"
"Visualisation interactive de données / Visualisation interactive des données (TP)"	"02/15/2019 01:30 PM CET"	"02/15/2019 03:30 PM CET"	"Enseignant : VUILLEMOT Romain Groupe : MOS 5.5"	""	"Salle 101"
"Visualisation interactive de données / Visualisation interactive des données (TP)"	"02/15/2019 03:45 PM CET"	"02/15/2019 05:45 PM CET"	"Enseignant : VUILLEMOT Romain Groupe : MOS 5.5"	""	"Salle 101"
"Anglais fort (TD)"	"02/27/2019 08:00 AM CET"	"02/27/2019 10:00 AM CET"	"Enseignant : GAUTHIER-BOTTET Martine Groupe : A4-9_2-03"	""	"Salle 217 - LL"
"Hybrid electric vehicles : modelling and energy management / Véhicules hybrides : modélisation et gestion de l'énergie (BE)"	"02/27/2019 02:00 PM CET"	"02/27/2019 04:00 PM CET"	"Enseignant : MOREL Florent Groupe : MOS 3.3"	""	"H10 - micro4, H10 - micro3"
"Hybrid electric vehicles : modelling and energy management / Véhicules hybrides : modélisation et gestion de l'énergie (BE)"	"02/27/2019 04:15 PM CET"	"02/27/2019 06:15 PM CET"	"Enseignant : MOREL Florent Groupe : MOS 3.3"	""	"H10 - micro4, H10 - micro3"
"Modélisation et gestion du trafic (BE)"	"03/01/2019 08:00 AM CET"	"03/01/2019 10:00 AM CET"	"Enseignant : LECLERCQ Ludovic Groupe : MOS 3.4"	""	"Salle 102"
"Modélisation et gestion du trafic (BE)"	"03/01/2019 10:15 AM CET"	"03/01/2019 12:15 PM CET"	"Enseignant : LECLERCQ Ludovic Groupe : MOS 3.4"	""	"Salle 102"
"Anglais fort (TD)"	"03/06/2019 08:00 AM CET"	"03/06/2019 10:00 AM CET"	"Enseignant : GAUTHIER-BOTTET Martine Groupe : A4-9_2-03"	""	"Salle 217 - LL"
"Modélisation et gestion du trafic (Cours)"	"03/08/2019 08:00 AM CET"	"03/08/2019 10:00 AM CET"	"Enseignant : LECLERCQ Ludovic Groupe : MOS 3.4"	""	"Salle 102"
"Modélisation et gestion du trafic (Cours)"	"03/08/2019 10:15 AM CET"	"03/08/2019 12:15 PM CET"	"Enseignant : LECLERCQ Ludovic Groupe : MOS 3.4"	""	"Salle 102"
"Visualisation interactive de données / Visualisation interactive des données (Cours)"	"03/08/2019 01:30 PM CET"	"03/08/2019 03:30 PM CET"	"Enseignant : VUILLEMOT Romain Groupe : MOS 5.5"	""	"Salle 101"
"Visualisation interactive de données / Visualisation interactive des données (Cours)"	"03/08/2019 03:45 PM CET"	"03/08/2019 05:45 PM CET"	"Enseignant : VUILLEMOT Romain Groupe : MOS 5.5"	""	"Salle 101"
"Anglais fort (TD)"	"03/13/2019 08:00 AM CET"	"03/13/2019 10:00 AM CET"	"Enseignant : GAUTHIER-BOTTET Martine Groupe : A4-9_2-03"	""	"Salle 217 - LL"
"Anglais fort (TD)"	"03/20/2019 08:00 AM CET"	"03/20/2019 10:00 AM CET"	"Enseignant : GAUTHIER-BOTTET Martine Groupe : A4-9_2-03"	""	"Salle 217 - LL"
"Anglais fort (TD)"	"03/27/2019 08:00 AM CET"	"03/27/2019 10:00 AM CET"	"Enseignant : GAUTHIER-BOTTET Martine Groupe : A4-9_2-03"	""	"Salle 217 - LL"

