Title	Given planned earliest start	Given planned earliest end	Notes	Assigned Resources	Additional Title
"Ingénieur Recherche Innovation et Développement (Cours)"	"09/17/2018 08:00 AM CEST"	"09/17/2018 10:00 AM CEST"	"Enseignant : PONS Christophe Groupe : IRD_MSM"	""	"Amphi 202"
"Ingénieur Recherche Innovation et Développement (Cours)"	"09/17/2018 10:15 AM CEST"	"09/17/2018 12:15 PM CEST"	"Enseignant : PONS Christophe Groupe : IRD_MSM"	""	"Amphi 202"
"Ingénieur Recherche Innovation et Développement (Cours)"	"09/17/2018 02:00 PM CEST"	"09/17/2018 04:00 PM CEST"	"Enseignant : PONS Christophe Groupe : IRD_MSM"	""	"Amphi 201"
"Ingénieur Recherche Innovation et Développement (Cours)"	"09/17/2018 04:15 PM CEST"	"09/17/2018 06:15 PM CEST"	"Enseignant : PONS Christophe Groupe : IRD_MSM"	""	"Amphi 201"
"Créativité, ergonomie, design, innovation, compétitivité (TD)"	"09/18/2018 10:15 AM CEST"	"09/18/2018 12:15 PM CEST"	"Enseignant : POUSSIELGUE Sébastien Groupe : IRD_MSM_1"	""	"Salle 104"
"Structures de Recherche Nationales et Internationales - Philosophie, Sciences et Société (TD)"	"09/18/2018 02:00 PM CEST"	"09/18/2018 04:00 PM CEST"	"Enseignant : BEAUBOIS Vincent, FLANDRIN Laure Groupe : IRD_MSM"	""	"Salle 105, Salle 104"
"Ingénieur Recherche Innovation et Développement (Cours)"	"09/18/2018 04:15 PM CEST"	"09/18/2018 06:15 PM CEST"	"Groupe : IRD_MSM"	""	"Inconnue"
"Structures de Recherche Nationales et Internationales - Philosophie, Sciences et Société (Conference)"	"09/19/2018 08:00 AM CEST"	"09/19/2018 10:00 AM CEST"	"Enseignant : LOUBET Jean-Luc Groupe : IRD_MSM"	""	"Amphi 203"
"Créativité, ergonomie, design, innovation, compétitivité (BE)"	"09/19/2018 10:15 AM CEST"	"09/19/2018 12:15 PM CEST"	"Enseignant : PONS Christophe Groupe : IRD_MSM"	""	"Amphi 203"
"Structures de Recherche Nationales et Internationales - Philosophie, Sciences et Société (Conference)"	"09/19/2018 02:00 PM CEST"	"09/19/2018 04:00 PM CEST"	"Groupe : IRD_MSM"	""	"Amphi 202"
"Ingénieur Recherche Innovation et Développement (Cours)"	"09/19/2018 04:15 PM CEST"	"09/19/2018 06:15 PM CEST"	"Groupe : IRD_MSM"	""	"Inconnue"
"Gestion du Projet de recherche et Interdisciplinarité (BE)"	"09/20/2018 08:00 AM CEST"	"09/20/2018 10:00 AM CEST"	"Enseignant : CREYSSELS Mathieu, ROGER Michel Groupe : IRD_MSM"	""	"D5 - 1Etg -Vinci, D5 - 1Etg - Taylor"
"Gestion du Projet de recherche et Interdisciplinarité (BE)"	"09/20/2018 10:15 AM CEST"	"09/20/2018 12:15 PM CEST"	"Enseignant : CREYSSELS Mathieu, ROGER Michel Groupe : IRD_MSM"	""	"D5 - 1Etg -Vinci, D5 - 1Etg - Taylor"
"Ingénieur Recherche Innovation et Développement (Cours)"	"09/21/2018 08:00 AM CEST"	"09/21/2018 10:00 AM CEST"	"Groupe : IRD_MSM"	""	"Inconnue"
"Ingénieur Recherche Innovation et Développement (Cours)"	"09/21/2018 10:15 AM CEST"	"09/21/2018 12:15 PM CEST"	"Groupe : IRD_MSM"	""	"Inconnue"
"Structures de Recherche Nationales et Internationales - Philosophie, Sciences et Société (Conference)"	"09/21/2018 01:30 PM CEST"	"09/21/2018 03:30 PM CEST"	"Groupe : IRD_MSM"	""	"Amphi 202"
"Ingénieur Recherche Innovation et Développement (Cours)"	"09/21/2018 03:45 PM CEST"	"09/21/2018 05:45 PM CEST"	"Groupe : IRD_MSM"	""	"Inconnue"
"Ingénieur Recherche Innovation et Développement (Cours)"	"09/24/2018 08:00 AM CEST"	"09/24/2018 10:00 AM CEST"	"Groupe : IRD_MSM"	""	"Inconnue"
"Ingénieur Recherche Innovation et Développement (Cours)"	"09/24/2018 10:15 AM CEST"	"09/24/2018 12:15 PM CEST"	"Groupe : IRD_MSM"	""	"Inconnue"
"Structures de Recherche Nationales et Internationales - Philosophie, Sciences et Société (TD)"	"09/24/2018 02:00 PM CEST"	"09/24/2018 04:00 PM CEST"	"Enseignant : BEAUBOIS Vincent, FLANDRIN Laure Groupe : IRD_MSM"	""	"Salle 17, Salle 14"
"Structures de Recherche Nationales et Internationales - Philosophie, Sciences et Société (Conference)"	"09/24/2018 04:15 PM CEST"	"09/24/2018 06:15 PM CEST"	"Groupe : IRD_MSM"	""	"Amphi 1bis"
"Gestion du Projet de recherche et Interdisciplinarité (BE)"	"09/25/2018 08:00 AM CEST"	"09/25/2018 10:00 AM CEST"	"Enseignant : CREYSSELS Mathieu, ROGER Michel Groupe : IRD_MSM"	""	"D5 - 1Etg -Vinci, D5 - 1Etg - Taylor"
"Gestion du Projet de recherche et Interdisciplinarité (BE)"	"09/25/2018 10:15 AM CEST"	"09/25/2018 12:15 PM CEST"	"Enseignant : CREYSSELS Mathieu, ROGER Michel Groupe : IRD_MSM"	""	"D5 - 1Etg -Vinci, D5 - 1Etg - Taylor"
"Structures de Recherche Nationales et Internationales - Philosophie, Sciences et Société (Conference)"	"09/25/2018 02:00 PM CEST"	"09/25/2018 04:00 PM CEST"	"Enseignant : TAMAIN Bernard Groupe : IRD_MSM"	""	"Amphi 202"
"Ingénieur Recherche Innovation et Développement (Cours)"	"09/25/2018 04:15 PM CEST"	"09/25/2018 06:15 PM CEST"	"Groupe : IRD_MSM"	""	"Inconnue"
"Gestion du Projet de recherche et Interdisciplinarité (BE)"	"09/26/2018 08:00 AM CEST"	"09/26/2018 10:00 AM CEST"	"Enseignant : CREYSSELS Mathieu, ROGER Michel Groupe : IRD_MSM"	""	"Salle 120, Salle 119"
"Gestion du Projet de recherche et Interdisciplinarité (BE)"	"09/26/2018 10:15 AM CEST"	"09/26/2018 12:15 PM CEST"	"Enseignant : CREYSSELS Mathieu, ROGER Michel Groupe : IRD_MSM"	""	"Salle 120, Salle 119"
"Ingénieur Recherche Innovation et Développement (Cours)"	"09/26/2018 02:00 PM CEST"	"09/26/2018 04:00 PM CEST"	"Groupe : IRD_MSM"	""	"Inconnue"
"Ingénieur Recherche Innovation et Développement (Autonomie)"	"09/26/2018 04:15 PM CEST"	"09/26/2018 06:15 PM CEST"	"Groupe : IRD_MSM"	""	""
"Créativité, ergonomie, design, innovation, compétitivité (Examen)"	"09/27/2018 08:00 AM CEST"	"09/27/2018 10:00 AM CEST"	"Enseignant : CONSTANT Damien Groupe : IRD_MSM"	""	"Amphi 2"
"Structures de Recherche Nationales et Internationales - Philosophie, Sciences et Société (Examen)"	"09/27/2018 10:15 AM CEST"	"09/27/2018 12:15 PM CEST"	"Enseignant : FLANDRIN Laure Groupe : IRD_MSM"	""	"Amphi 2"
"Ingénieur Recherche Innovation et Développement (Autonomie)"	"09/28/2018 08:00 AM CEST"	"09/28/2018 10:00 AM CEST"	"Groupe : IRD_MSM"	""	""
"Créativité, ergonomie, design, innovation, compétitivité (Examen)"	"09/28/2018 10:15 AM CEST"	"09/28/2018 12:15 PM CEST"	"Enseignant : CREYSSELS Mathieu Groupe : IRD_MSM"	""	"CCI - Salle 341"
"Ingénieur Recherche Innovation et Développement (Cours)"	"09/28/2018 01:30 PM CEST"	"09/28/2018 03:30 PM CEST"	"Groupe : IRD_MSM"	""	""
"Ingénieur Recherche Innovation et Développement (Cours)"	"09/28/2018 03:45 PM CEST"	"09/28/2018 05:45 PM CEST"	"Groupe : IRD_MSM"	""	"Inconnue"
"Défis informatiques du Big Data (Cours)"	"10/01/2018 08:00 AM CEST"	"10/01/2018 10:00 AM CEST"	"Enseignant : DERRODE Stéphane Groupe : MOD 2.1"	""	"Amphi 201"
"Automatique Avancée / Extraction de connaissances et apprentissage artificiel / Extraction de Connaissances et apprentissage artificiel (Cours)"	"10/01/2018 10:15 AM CEST"	"10/01/2018 12:15 PM CEST"	"Enseignant : SAIDI Alexandre Groupe : MOD 7.2"	""	"Amphi 201"
"Représentation et manipulation de données structurées (Autonomie)"	"10/01/2018 02:00 PM CEST"	"10/01/2018 04:00 PM CEST"	"Groupe : MOD 8.4"	""	""
"Représentation et manipulation de données structurées (Autonomie)"	"10/01/2018 04:15 PM CEST"	"10/01/2018 06:15 PM CEST"	"Groupe : MOD 8.4"	""	""
"Réseaux informatiques (Autonomie)"	"10/02/2018 08:00 AM CEST"	"10/02/2018 10:00 AM CEST"	"Groupe : MOD 9.5"	""	""
"Réseaux informatiques (Cours)"	"10/02/2018 10:15 AM CEST"	"10/02/2018 12:15 PM CEST"	"Enseignant : CHALON René Groupe : MOD 9.5"	""	"Amphi 203"
"Systèmes embarqués en environnement hostile / Systèmes embarqués sécurisés (Cours)"	"10/02/2018 02:00 PM CEST"	"10/02/2018 04:00 PM CEST"	"Enseignant : MARCHAND Cédric Groupe : MOD 3.3"	""	"F7 - 1Etg"
"Représentation et manipulation de données structurées (Cours)"	"10/02/2018 04:15 PM CEST"	"10/02/2018 06:15 PM CEST"	"Enseignant : MULLER Daniel Groupe : MOD 8.4"	""	"Salle 104"
"Systèmes embarqués en environnement hostile / Systèmes embarqués sécurisés (BE)"	"10/03/2018 08:00 AM CEST"	"10/03/2018 10:00 AM CEST"	"Enseignant : MARCHAND Cédric Groupe : MOD 3.3"	""	"F7 - 1Etg"
