end_time,start_time,duration,time_offset,exercise_type,max_speed,calorie,mean_speed,update_time,live_data,distance,datauuid,create_time
2018-06-17 17:01:37.000,2018-06-17 16:39:25.000,1332905,UTC+0100,1001,1.720532,80.97234,1.3630874,2018-06-17 17:03:14.045,203b9cdc-aafb-4eb2-9a40-5e58809d0144.live_data.json,1816.8662,203b9cdc-aafb-4eb2-9a40-5e58809d0144,2018-06-17 17:03:14.045
2018-11-02 11:31:13.000,2018-11-02 11:20:00.000,673177,UTC+0100,1001,1.3885809,36.66873,1.1581554,2018-11-02 11:35:00.103,21bbacca-1514-41d7-a39c-844f80de6b8f.live_data.json,779.64355,21bbacca-1514-41d7-a39c-844f80de6b8f,2018-11-02 11:35:00.103
2018-10-31 12:46:05.000,2018-10-31 12:21:17.000,1488411,UTC+0100,1001,1.9796139,93.80322,1.4061898,2018-10-31 12:47:55.858,22e775ec-342b-4024-9d27-5fc8291452a1.live_data.json,2092.9883,22e775ec-342b-4024-9d27-5fc8291452a1,2018-10-31 12:47:55.858
2018-09-22 08:26:41.000,2018-09-22 08:15:00.000,700770,UTC+0200,1001,1.6239568,46.99594,1.4942296,2018-09-22 08:33:09.017,23b1798a-bfee-452b-bdd4-ad3f66a562f0.live_data.json,1047.1113,23b1798a-bfee-452b-bdd4-ad3f66a562f0,2018-09-22 08:33:09.017
2018-08-11 09:05:11.000,2018-08-11 08:54:17.000,654520,UTC+0200,1001,1.6066325,37.801544,1.2930994,2018-08-11 09:07:52.008,259b762d-a43c-4f80-9e7a-5609e55fe7f8.live_data.json,846.3594,259b762d-a43c-4f80-9e7a-5609e55fe7f8,2018-08-11 09:07:52.008
2018-07-12 22:57:06.000,2018-07-12 22:34:10.000,1376243,UTC+0100,1001,1.7214162,79.94101,1.2991108,2018-07-12 23:00:48.737,2614009c-a2bf-4104-9792-c71a6cdc0016.live_data.json,1787.8922,2614009c-a2bf-4104-9792-c71a6cdc0016,2018-07-12 23:00:48.737
2018-09-28 16:42:38.000,2018-09-28 16:17:13.000,1524673,UTC+0200,1001,1.704943,92.59169,1.3314093,2018-09-28 16:52:05.714,263ada33-345c-483c-9dbe-5eb5453bd286.live_data.json,2029.9639,263ada33-345c-483c-9dbe-5eb5453bd286,2018-09-28 16:52:05.714
2019-01-20 15:47:29.699,2019-01-20 15:15:51.658,1882277,UTC+0100,1002,3.9666665,416.0,2.977355,2019-01-20 15:48:08.446,27f078ae-cbbe-4676-9148-fca3370f4eb7.live_data.json,5594.45,27f078ae-cbbe-4676-9148-fca3370f4eb7,2019-01-20 15:15:51.668
2018-08-08 14:48:30.000,2018-08-08 14:37:39.000,651332,UTC+0200,1001,1.6004051,41.686478,1.4243213,2018-08-08 14:54:13.122,29f168e2-e994-48e6-adb9-64325c0c7066.live_data.json,927.70605,29f168e2-e994-48e6-adb9-64325c0c7066,2018-08-08 14:54:13.122
2018-10-20 10:07:06.000,2018-10-20 09:54:14.000,772426,UTC+0200,1001,1.6692128,48.330017,1.4033353,2018-10-20 10:08:50.087,2b1442a7-46b7-4811-aeb0-7faf446d633a.live_data.json,1083.9727,2b1442a7-46b7-4811-aeb0-7faf446d633a,2018-10-20 10:08:50.087
2018-07-25 11:08:09.000,2018-07-25 10:52:00.000,969134,UTC+0100,1001,1.7449085,53.472168,1.2158668,2018-07-25 11:15:10.590,2c34700a-b644-4b6e-8c86-6ed22cbc974c.live_data.json,1178.3379,2c34700a-b644-4b6e-8c86-6ed22cbc974c,2018-07-25 11:15:10.590
